"","X1","fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc"
"1",3,701,201712,"N",204711,NA,0,1,"P",79,20,110000,79,4.125,"R","N","FRM","NY","SF","12800","F117Q4000003","P",360,1,"Other sellers","Other servicers",NA
"2",33,766,201802,"9",204801,21300,0,1,"P",63,49,85000,63,4,"R","N","FRM","NY","SF","14800","F117Q4000033","C",360,1,"Other sellers","Other servicers",NA
"3",39,788,201712,"N",204711,46540,30,1,"P",95,36,117000,95,4.25,"R","N","FRM","NY","SF","13300","F117Q4000039","P",360,1,"Other sellers","Other servicers",NA
"4",111,809,201801,"N",204712,10580,0,1,"P",80,27,193000,80,3.959,"R","N","FRM","NY","SF","12300","F117Q4000111","P",360,2,"Other sellers","Other servicers",NA
"5",135,817,201712,"N",203211,46540,0,1,"P",55,27,60000,55,3.375,"R","N","FRM","NY","SF","13300","F117Q4000135","P",180,1,"Other sellers","Other servicers",NA
"6",136,729,201801,"N",204712,46540,30,1,"P",95,32,170000,95,4.125,"R","N","FRM","NY","SF","13300","F117Q4000136","P",360,2,"Other sellers","Other servicers",NA
"7",137,743,201712,"N",204711,46540,30,1,"P",95,44,119000,95,4.125,"R","N","FRM","NY","SF","13400","F117Q4000137","P",360,2,"Other sellers","Other servicers",NA
"8",151,732,201712,"9",203211,28740,0,1,"P",44,20,120000,44,3.375,"R","N","FRM","NY","SF","12400","F117Q4000151","C",180,2,"Other sellers","Other servicers",NA
"9",174,728,201712,"N",204711,28740,0,1,"P",80,23,175000,80,4,"R","N","FRM","NY","SF","12400","F117Q4000174","P",360,1,"Other sellers","Other servicers",NA
"10",188,747,201712,"9",204711,28740,0,1,"S",75,28,228000,75,4,"R","N","FRM","NY","SF","12400","F117Q4000188","P",360,2,"Other sellers","Other servicers",NA
"11",206,797,201712,"9",203211,46540,0,1,"S",80,21,206000,80,3.375,"R","N","FRM","NY","SF","13400","F117Q4000206","P",180,2,"Other sellers","Other servicers",NA
"12",216,726,201712,"Y",203711,NA,6,1,"P",85,39,60000,85,3.625,"R","N","FRM","NY","SF","14700","F117Q4000216","P",240,1,"Other sellers","Other servicers",NA
"13",221,782,201712,"N",204711,13780,0,1,"P",80,31,128000,80,4,"R","N","FRM","NY","SF","13800","F117Q4000221","P",360,1,"Other sellers","Other servicers",NA
"14",227,790,201801,"N",204712,35614,30,1,"P",95,38,143000,95,4,"R","N","FRM","NY","SF","12700","F117Q4000227","P",360,1,"Other sellers","Other servicers",NA
"15",229,771,201712,"9",204711,28740,0,1,"S",80,38,310000,80,4,"R","N","FRM","NY","SF","12400","F117Q4000229","P",360,2,"Other sellers","Other servicers",NA
"16",236,738,201712,"Y",204711,NA,30,1,"P",95,25,128000,95,4,"R","N","FRM","NY","SF","14800","F117Q4000236","P",360,2,"Other sellers","Other servicers",NA
"17",241,726,201712,"9",203211,10580,0,1,"P",60,47,122000,60,3.159,"R","N","FRM","NY","SF","12300","F117Q4000241","C",180,2,"Other sellers","Other servicers",NA
"18",276,703,201712,"9",204711,35614,0,1,"P",80,29,217000,80,4.125,"R","N","FRM","NY","SF","12500","F117Q4000276","N",360,2,"Other sellers","Other servicers",NA
"19",290,797,201712,"9",203211,10580,0,1,"P",57,11,424000,57,3.179,"R","N","FRM","NY","SF","12800","F117Q4000290","C",180,2,"Other sellers","Other servicers",NA
"20",313,791,201712,"9",203211,45060,0,1,"P",68,19,125000,68,3.139,"R","N","FRM","NY","SF","13000","F117Q4000313","C",180,1,"Other sellers","Other servicers",NA
"21",334,662,201712,"N",204711,46540,0,1,"P",80,30,62000,80,4.125,"R","N","FRM","NY","SF","13300","F117Q4000334","P",360,1,"Other sellers","Other servicers",NA
"22",335,770,201712,"N",204711,46540,0,1,"P",80,26,165000,80,4.125,"R","N","FRM","NY","SF","13400","F117Q4000335","P",360,2,"Other sellers","Other servicers",NA
"23",352,780,201712,"N",204711,28740,30,1,"P",95,45,314000,95,4.125,"R","N","FRM","NY","SF","12500","F117Q4000352","P",360,1,"Other sellers","Other servicers",NA
"24",355,719,201712,"9",203211,10580,0,1,"P",77,43,190000,77,3.139,"R","N","FRM","NY","SF","12000","F117Q4000355","C",180,1,"Other sellers","Other servicers",NA
"25",377,761,201712,"Y",204711,35614,0,1,"P",80,35,292000,80,4,"R","N","FRM","NY","SF","10900","F117Q4000377","P",360,1,"Other sellers","Other servicers",NA
"26",401,805,201712,"Y",204711,28740,0,1,"P",80,11,148000,80,4,"R","N","FRM","NY","SF","12400","F117Q4000401","P",360,2,"Other sellers","Other servicers",NA
"27",435,797,201712,"Y",204711,NA,30,1,"P",95,20,108000,95,3.875,"R","N","FRM","NY","SF","14800","F117Q4000435","P",360,2,"Other sellers","Other servicers",NA
"28",438,742,201712,"N",204711,21300,30,1,"P",91,32,137000,91,3.875,"R","N","FRM","NY","SF","14800","F117Q4000438","P",360,1,"Other sellers","Other servicers",NA
"29",443,758,201712,"9",204711,28740,0,1,"S",80,32,152000,80,4,"R","N","FRM","NY","SF","12400","F117Q4000443","P",360,1,"Other sellers","Other servicers",NA
"30",448,783,201801,"Y",204712,28740,30,1,"P",95,18,344000,95,4,"R","N","FRM","NY","SF","12400","F117Q4000448","P",360,2,"Other sellers","Other servicers",NA
"31",497,746,201712,"Y",204711,21300,0,1,"P",80,28,63000,80,3.875,"R","N","FRM","NY","SF","14900","F117Q4000497","P",360,1,"Other sellers","Other servicers",NA
"32",500,805,201712,"9",204711,46540,0,1,"S",37,9,110000,37,4.125,"R","N","FRM","NY","CO","13400","F117Q4000500","P",360,2,"Other sellers","Other servicers",NA
"33",501,750,201712,"9",203211,45060,0,1,"P",80,7,410000,80,3.375,"R","N","FRM","NY","SF","13000","F117Q4000501","C",180,1,"Other sellers","Other servicers",NA
"34",502,781,201712,"9",204711,27060,0,2,"I",70,14,263000,70,4.5,"R","N","FRM","NY","SF","14800","F117Q4000502","C",360,2,"Other sellers","Other servicers",NA
"35",506,671,201712,"Y",204711,NA,30,1,"P",94,35,65000,94,4.25,"R","N","FRM","NY","SF","14800","F117Q4000506","P",360,2,"Other sellers","Other servicers",NA
"36",510,802,201712,"N",204711,10580,0,1,"P",80,26,240000,80,3.849,"R","N","FRM","NY","SF","12000","F117Q4000510","P",360,2,"Other sellers","Other servicers",NA
"37",562,768,201802,"9",204801,35614,0,2,"I",75,40,4e+05,75,4.75,"R","N","FRM","NY","SF","10300","F117Q4000562","P",360,2,"Other sellers","Other servicers",NA
"38",589,773,201712,"N",204711,45060,25,1,"P",90,24,243000,90,3.875,"R","N","FRM","NY","SF","13100","F117Q4000589","P",360,2,"Other sellers","Other servicers",NA
"39",627,796,201712,"Y",204711,28740,0,1,"P",80,24,198000,80,4,"R","N","FRM","NY","SF","12400","F117Q4000627","P",360,1,"Other sellers","Other servicers",NA
"40",646,810,201712,"N",202711,NA,0,1,"P",71,33,85000,71,3,"R","N","FRM","NY","SF","14700","F117Q4000646","P",120,1,"Other sellers","Other servicers",NA
"41",654,723,201712,"9",204711,21300,0,1,"P",80,44,51000,80,3.75,"R","N","FRM","NY","SF","14800","F117Q4000654","C",360,1,"Other sellers","Other servicers",NA
"42",677,799,201801,"9",204712,35614,0,1,"P",68,33,159000,68,4.25,"R","N","FRM","NY","SF","12500","F117Q4000677","C",360,1,"Other sellers","Other servicers",NA
"43",701,756,201712,"Y",204711,28740,0,1,"P",80,46,229000,80,3.875,"R","N","FRM","NY","SF","12400","F117Q4000701","P",360,1,"Other sellers","Other servicers",NA
"44",807,693,201801,"Y",204712,28740,30,1,"P",95,21,193000,95,4,"R","N","FRM","NY","SF","12400","F117Q4000807","P",360,2,"Other sellers","Other servicers",NA
"45",816,816,201712,"N",204711,21300,30,1,"P",95,42,223000,95,3.875,"R","N","FRM","NY","SF","14900","F117Q4000816","P",360,1,"Other sellers","Other servicers",NA
"46",821,780,201712,"N",203211,46540,0,1,"P",58,48,140000,58,3.375,"R","N","FRM","NY","SF","13300","F117Q4000821","P",180,1,"Other sellers","Other servicers",NA
"47",822,809,201712,"N",203211,46540,0,1,"P",33,36,110000,33,3.375,"R","N","FRM","NY","SF","13400","F117Q4000822","P",180,1,"Other sellers","Other servicers",NA
"48",836,717,201801,"9",204712,10580,0,1,"P",80,38,199000,80,3.799,"R","N","FRM","NY","SF","12300","F117Q4000836","C",360,1,"Other sellers","Other servicers",NA
"49",939,797,201712,"9",204711,NA,0,1,"P",69,36,205000,69,3.875,"R","N","FRM","NY","SF","14800","F117Q4000939","N",360,2,"Other sellers","Other servicers",NA
"50",988,727,201712,"N",204711,21300,30,1,"P",95,33,160000,95,3.875,"R","N","FRM","NY","SF","14800","F117Q4000988","P",360,2,"Other sellers","Other servicers",NA
"51",1015,776,201801,"9",204712,NA,0,1,"P",74,22,250000,74,3.775,"R","N","FRM","NY","SF","12100","F117Q4001015","C",360,1,"Other sellers","Other servicers",NA
"52",1016,764,201712,"9",204711,10580,0,1,"P",74,20,192000,74,3.775,"R","N","FRM","NY","SF","12300","F117Q4001016","C",360,2,"Other sellers","Other servicers",NA
"53",1079,794,201712,"N",204711,10580,0,1,"P",80,35,204000,80,3.775,"R","N","FRM","NY","SF","12200","F117Q4001079","P",360,2,"Other sellers","Other servicers",NA
"54",1086,702,201802,"N",204801,21300,0,1,"P",77,39,1e+05,77,3.75,"R","N","FRM","NY","SF","14800","F117Q4001086","P",360,2,"Other sellers","Other servicers",NA
"55",1131,710,201712,"Y",204711,21300,30,1,"P",95,38,110000,95,3.875,"R","N","FRM","NY","SF","14900","F117Q4001131","P",360,1,"Other sellers","Other servicers",NA
"56",1179,763,201801,"9",204712,NA,0,1,"S",80,32,165000,80,3.875,"R","N","FRM","NY","SF","12400","F117Q4001179","P",360,2,"Other sellers","Other servicers",NA
